,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_total,capture_rate,defense,hp,sp_attack,sp_defense,speed,type1,type2,is_legendary
0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,-0.9003683739661613,-0.315121707273161,-0.930245362199592,-0.7039429942580352,-0.7804755910257821,-0.9034399752729594,-0.19546562318543764,-0.2110087638645895,-0.7390997504636644,10.0,14.0,0.0
1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,-0.4949837405902684,-0.315121707273161,-0.1977155780617834,-0.7039429942580352,-0.3243009249714016,-0.33788252276526143,0.2695161340967055,0.3272106750168884,-0.2215499078025214,10.0,14.0,0.0
2,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.6899867262008031,-0.315121707273161,1.6546585887234797,-0.7039429942580352,1.6307333581188006,0.4161940805783358,1.5714650544867061,1.7624625120341626,0.4685165490790026,10.0,14.0,0.0
3,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,-0.8068180739563399,-0.315121707273161,-1.0060243053862619,-0.7039429942580352,-0.9759790193348024,-1.1296629562760385,-0.35045954227948534,-0.7492282027460674,-0.04903329358214039,7.0,0.0,0.0
4,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,-0.4326168739170541,-0.315121707273161,-0.1977155780617834,-0.7039429942580352,-0.4872204485622518,-0.4132901830996212,0.2695161340967055,-0.2110087638645895,0.4685165490790026,7.0,0.0,0.0
5,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0.8147204595472318,-0.315121707273161,1.7304375319101495,-0.7039429942580352,0.16445764580114894,0.34078642024397604,2.7184200557826594,1.5830560324070033,1.1585830059605267,7.0,8.0,0.0
6,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,-0.9315518073027684,-0.315121707273161,-0.9639248925047785,-0.7039429942580352,-0.2591331155350615,-0.9411438054401392,-0.6604473804675808,-0.24689005979002138,-0.8081063961518168,18.0,0.0,0.0
7,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,-0.4638003072536612,-0.315121707273161,-0.1977155780617834,-0.7039429942580352,0.229625455237489,-0.3755863529324413,-0.19546562318543764,0.3272106750168884,-0.2905565534906738,18.0,0.0,0.0
8,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.7835370262106246,-0.315121707273161,1.696758001604963,-0.7039429942580352,1.5329816439642905,0.3784902504111559,1.9744492441312302,1.5830560324070033,0.3995099033908502,18.0,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.4928536073616971,-0.510857026991444,-1.9658909190840799,2.056537721586008,-1.2366502570801625,-0.9034399752729594,-1.590410895031867,-1.8256670805090232,-0.7390997504636644,1.0,0.0,0.0
